what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1447413708889
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447413727182
error,log,,,"Cannot parse XML at URL http://marketplace.eclipse.org/featured/api/p?product=org.eclipse.epp.package.jee.product&os=win32&runtime.version=3.6.0.v20100505&client=org.eclipse.epp.mpc.core&java.version=1.7.0_04&product.version=1.3.1.20100913-1228&ws=win32",1447413758204
error,log,,,"MarketplaceDiscoveryStrategy failed with an error",1447413766769
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447413810726
executed,command,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1447413810777
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447413815236
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447413842137
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447413859426
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447413865402
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447413891026
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447413892470
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447413892970
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447413894356
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447413912314
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447413920838
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447413947403
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447413961364
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447413988778
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447414102034
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447414125295
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447416548713
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447416585155
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447416628899
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447416657116
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447416773487
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1447416805789
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447416814556
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447416814561
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1447416817351
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1447416929653
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1447416930063
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447416937067
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447428362979
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447428374601
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447428436915
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447428437031
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1447428470304
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1447428578339
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1447428578488
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447428578501
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447428578518
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1447428578521
opened,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1447428580119
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1447428582332
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.202.v20100818b,"org.eclipse.jst.server.tomcat.core",1447428582439
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447428751577
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447428768057
executed,command,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1447428768074
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1447428777281
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1447428781551
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447428783107
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447428786537
executed,command,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui.applyPatch",1447428786554
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447428801174
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447428815216
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1447428815221
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1447428815221
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447428825611
error,log,,,"Cannot parse XML at URL http://marketplace.eclipse.org/featured/api/p?product=org.eclipse.epp.package.jee.product&os=win32&runtime.version=3.6.0.v20100505&client=org.eclipse.epp.mpc.core&java.version=1.7.0_04&product.version=1.3.1.20100913-1228&ws=win32",1447428857565
error,log,,,"MarketplaceDiscoveryStrategy failed with an error",1447428867360
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447428876097
executed,command,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1447428876120
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1447428881045
started,bundle,org.eclipse.datatools.connectivity,1.2.1.v201007142147,"org.eclipse.datatools.connectivity",1447428884826
started,bundle,org.eclipse.datatools.connectivity.ui,1.2.0.v201006250003,"org.eclipse.datatools.connectivity.ui",1447428884851
started,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.ui.dse",1447428884860
