what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447477916027
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1447477916027
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.run",1447477919147
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1447477919989
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1447477921737
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447477924077
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447477933628
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1447477934799
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447477940181
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447477960184
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447477961151
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447477962090
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1447477967066
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447477972292
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447477980154
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1447477980170
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447477983227
error,log,,,"Cannot find navigator content extension (using triggerPoints) for object ""<null>"" parent path: ""P/Servers"".  Check that you have an expression for this object in a navigatorContent triggerPoints or enablement.",1447478007158
error,log,,,"Cannot find navigator content extension (using triggerPoints) for object ""<null>"" parent path: ""P/Servers"".  Check that you have an expression for this object in a navigatorContent triggerPoints or enablement.",1447478007174
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447478007189
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1447478011198
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1447478013601
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.run",1447478017688
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1447478018671
